WL(um)	Flux(W/m2/um)
0.681	1.77E+03
0.683	1.76E+03
0.685	1.74E+03
0.687	1.74E+03
0.689	1.73E+03
0.691	1.72E+03
0.693	1.71E+03
0.695	1.70E+03
0.697	1.69E+03
0.699	1.69E+03
0.701	1.65E+03
0.703	1.66E+03
0.705	1.65E+03
0.707	1.64E+03
0.709	1.63E+03
0.711	1.61E+03
0.713	1.60E+03
0.715	1.59E+03
0.717	1.58E+03
0.719	1.56E+03
0.721	1.57E+03
0.723	1.56E+03
0.725	1.55E+03
0.727	1.55E+03
0.729	1.52E+03
0.731	1.52E+03
0.733	1.51E+03
0.735	1.51E+03
0.737	1.50E+03
0.739	1.48E+03
0.741	1.45E+03
0.743	1.46E+03
0.745	1.46E+03
0.747	1.45E+03
0.749	1.44E+03
0.751	1.44E+03
0.753	1.43E+03
0.755	1.43E+03
0.757	1.42E+03
0.759	1.41E+03
0.761	1.40E+03
0.763	1.40E+03
0.765	1.38E+03
0.767	1.36E+03
0.769	1.37E+03
0.771	1.35E+03
0.773	1.35E+03
0.775	1.34E+03
0.777	1.32E+03
0.779	1.34E+03
0.781	1.33E+03
0.783	1.31E+03
0.785	1.30E+03
0.787	1.30E+03
0.789	1.29E+03
0.791	1.28E+03
0.793	1.27E+03
0.795	1.26E+03
0.797	1.27E+03
0.799	1.26E+03
0.801	1.25E+03
0.803	1.24E+03
0.805	1.23E+03
0.807	1.23E+03
0.809	1.22E+03
0.811	1.22E+03
0.813	1.21E+03
0.815	1.21E+03
0.817	1.20E+03
0.819	1.17E+03
0.821	1.17E+03
0.823	1.16E+03
0.825	1.16E+03
0.827	1.17E+03
0.829	1.16E+03
0.831	1.15E+03
0.833	1.13E+03
0.835	1.13E+03
0.837	1.13E+03
0.839	1.11E+03
0.841	1.12E+03
0.843	1.10E+03
0.845	1.09E+03
0.847	1.08E+03
0.849	1.08E+03
0.851	1.04E+03
0.853	1.08E+03
0.855	9.97E+02
0.857	1.08E+03
0.859	1.04E+03
0.861	1.03E+03
0.863	1.06E+03
0.865	1.05E+03
0.867	9.43E+02
0.869	1.03E+03
0.871	1.04E+03
0.873	1.03E+03
0.875	9.53E+02
0.877	1.01E+03
0.879	1.02E+03
0.881	1.01E+03
0.883	1.00E+03
0.885	9.75E+02
0.887	9.10E+02
0.889	9.90E+02
0.891	9.90E+02
0.893	9.79E+02
0.895	9.82E+02
0.897	9.75E+02
0.899	9.64E+02
0.901	8.74E+02
0.903	9.21E+02
0.905	9.57E+02
0.907	9.35E+02
0.909	9.17E+02
0.911	9.32E+02
0.913	9.39E+02
0.915	9.35E+02
0.917	9.28E+02
0.919	9.24E+02
0.921	8.95E+02
0.923	8.05E+02
0.925	8.77E+02
0.927	8.92E+02
0.929	9.03E+02
0.931	8.99E+02
0.933	8.92E+02
0.935	8.88E+02
0.937	8.85E+02
0.939	8.81E+02
0.941	8.45E+02
0.943	8.66E+02
0.945	8.59E+02
0.947	8.59E+02
0.949	8.56E+02
0.951	8.48E+02
0.953	8.27E+02
0.955	7.40E+02
0.957	8.19E+02
0.959	8.30E+02
0.961	8.23E+02
0.963	8.16E+02
0.965	8.16E+02
0.967	8.08E+02
0.969	8.08E+02
0.971	8.12E+02
0.973	8.08E+02
0.975	7.94E+02
0.977	7.94E+02
0.979	7.90E+02
0.981	7.87E+02
0.983	7.83E+02
0.985	7.79E+02
0.987	7.72E+02
0.989	7.69E+02
0.991	7.65E+02
0.993	7.65E+02
0.995	7.61E+02
