WL(um)	Flux(W/m2/um)
2.82E+00	43.80404779
2.83E+00	43.17827568
2.84E+00	42.67765799
2.85E+00	42.05188588
2.86E+00	41.55126819
2.87E+00	40.92549608
2.88E+00	40.42487839
2.89E+00	39.9242607
2.90E+00	39.42364301
2.91E+00	38.92302532
2.92E+00	38.54756205
2.93E+00	37.79663552
2.94E+00	37.54632667
2.95E+00	36.92055456
2.96E+00	36.5450913
2.97E+00	36.16962803
2.98E+00	35.66901034
2.99E+00	35.29354707
3.00E+00	34.79292938
3.01E+00	34.2923117
3.02E+00	33.91684843
3.03E+00	33.54138516
3.04E+00	32.91561305
3.05E+00	32.66530421
3.06E+00	32.28984094
3.07E+00	31.78922325
3.08E+00	31.53891441
3.09E+00	31.03829672
3.10E+00	30.66283345
3.11E+00	30.41252461
3.12E+00	29.78675249
3.13E+00	29.66159807
3.14E+00	29.28613481
3.15E+00	29.03582596
3.16E+00	28.53520827
3.17E+00	28.28489943
3.18E+00	27.90943616
3.19E+00	27.65912732
3.20E+00	27.28366405
3.21E+00	26.78304636
3.23E+00	26.15727425
3.25E+00	25.53150214
3.27E+00	24.90573003
3.29E+00	24.27995792
3.31E+00	23.77934023
3.33E+00	23.27872254
3.35E+00	22.77810485
3.37E+00	22.27748716
3.39E+00	21.65171505
3.41E+00	21.15109736
3.43E+00	20.77563409
3.45E+00	20.40017083
3.47E+00	19.89955314
3.49E+00	19.52408987
3.51E+00	19.1486266
3.53E+00	18.64800891
3.55E+00	18.27254565
3.57E+00	17.89708238
3.59E+00	17.52161911
3.61E+00	17.14615585
3.63E+00	16.77069258
3.65E+00	16.39522931
3.67E+00	16.01976605
3.69E+00	15.64430278
3.71E+00	15.26883951
3.73E+00	15.01853067
3.75E+00	14.6430674
3.77E+00	14.51791298
3.79E+00	14.14244971
3.81E+00	13.89214087
3.83E+00	13.64183203
3.85E+00	13.39152318
3.87E+00	13.14121434
3.89E+00	12.89090549
3.91E+00	12.64059665
3.93E+00	12.3902878
3.95E+00	12.10243263
3.97E+00	11.90218556
3.99E+00	11.61433038
4.01E+00	11.42659875
4.03E+00	11.23886712
4.05E+00	10.96352739
4.07E+00	10.81334208
4.09E+00	10.61309501
4.11E+00	10.42536337
4.13E+00	10.25014718
4.15E+00	10.03738466
4.17E+00	9.862168473
4.19E+00	9.661921398
4.21E+00	9.44915888
4.23E+00	9.349035342
4.25E+00	9.148788266
4.27E+00	9.011118402
4.29E+00	8.598108808
4.31E+00	8.260191868
4.33E+00	8.222645542
4.35E+00	7.834666833
4.37E+00	7.646935199
4.39E+00	7.546811662
4.41E+00	7.171348395
4.43E+00	7.108771184
4.45E+00	7.008647646
4.47E+00	6.69576159
4.49E+00	6.720792475
4.51E+00	6.558091726
4.53E+00	6.332813766
4.55E+00	6.332813766
4.57E+00	6.270236555
4.59E+00	6.01992771
4.61E+00	6.032443152
4.63E+00	5.932319615
4.65E+00	5.869742403
4.67E+00	5.807165192
4.69E+00	5.719557097
4.71E+00	5.619433559
4.73E+00	5.606918117
4.75E+00	5.481763694
4.77E+00	5.406671041
4.79E+00	5.331578388
4.81E+00	5.206423966
4.83E+00	5.218939408
4.85E+00	5.11881587
4.87E+00	5.018692332
4.89E+00	4.956115121
4.91E+00	4.881022468
4.93E+00	4.805929814
4.95E+00	4.718321719
4.97E+00	4.66825995
4.99E+00	4.593167296
5.01E+00	4.55562097
5.03E+00	4.480528316
5.05E+00	4.380404779
5.07E+00	4.342858452
5.09E+00	4.292796683
5.11E+00	4.205188588
5.13E+00	4.167642261
5.15E+00	4.092549608
5.17E+00	4.080034165
5.19E+00	3.99242607
5.21E+00	3.942364301
5.23E+00	3.87978709
5.25E+00	3.842240763
5.27E+00	3.804694436
5.29E+00	3.717086341
5.31E+00	3.679540014
5.33E+00	3.629478245
5.35E+00	3.591931919
5.37E+00	3.54187015
5.39E+00	3.504323823
5.41E+00	3.454262054
5.43E+00	3.391684843
5.45E+00	3.366653958
5.47E+00	3.31659219
5.49E+00	3.266530421
5.51E+00	3.228984094
5.53E+00	3.216468652
5.55E+00	3.141375998
5.57E+00	3.128860556
5.59E+00	3.066283345
5.61E+00	3.041252461
5.63E+00	2.991190692
5.65E+00	2.966159807
5.67E+00	2.928613481
5.69E+00	2.878551712
5.71E+00	2.853520827
5.73E+00	2.815974501
5.75E+00	2.778428174
5.77E+00	2.740881847
5.79E+00	2.715850963
5.81E+00	2.678304636
5.83E+00	2.640758309
5.85E+00	2.615727425
5.87E+00	2.578181098
5.89E+00	2.540634772
5.91E+00	2.515603887
5.93E+00	2.490573003
5.95E+00	2.453026676
5.97E+00	2.427995792
5.99E+00	2.402964907
6.01E+00	2.36541858
6.03E+00	2.340387696
6.05E+00	2.302841369
6.07E+00	2.277810485
6.09E+00	2.2527796
6.11E+00	2.215233274
6.13E+00	2.190202389
6.15E+00	2.165171505
6.17E+00	2.14014062
6.19E+00	2.127625178
6.21E+00	2.102594294
6.23E+00	2.065047967
6.25E+00	2.040017083
6.27E+00	2.014986198
6.29E+00	1.989955314
6.31E+00	1.964924429
6.33E+00	1.952408987
6.35E+00	1.927378103
6.37E+00	1.902347218
6.39E+00	1.877316334
6.42E+00	1.852285449
6.46E+00	1.80222368
6.50E+00	1.764677354
6.54E+00	1.714615585
6.58E+00	1.677069258
6.62E+00	1.639522931
6.66E+00	1.601976605
6.70E+00	1.564430278
6.74E+00	1.526883951
6.78E+00	1.501853067
6.82E+00	1.46430674
6.86E+00	1.426760414
6.90E+00	1.401729529
6.94E+00	1.364183203
6.98E+00	1.339152318
7.02E+00	1.301605991
7.06E+00	1.276575107
7.10E+00	1.251544222
7.14E+00	1.22401025
7.18E+00	1.197727821
7.22E+00	1.171445392
7.26E+00	1.146414508
7.30E+00	1.122635168
7.34E+00	1.098855827
7.38E+00	1.076328031
7.42E+00	1.052548691
7.46E+00	1.030020895
7.50E+00	1.009996188
7.54E+00	0.988719936
7.58E+00	0.968695228
7.62E+00	0.948670521
7.66E+00	0.929897357
7.70E+00	0.911124194
7.74E+00	0.892351031
7.78E+00	0.874829412
7.82E+00	0.857307792
7.86E+00	0.841037718
7.90E+00	0.823516098
7.94E+00	0.808497568
7.98E+00	0.792227493
8.02E+00	0.775957418
8.06E+00	0.760938887
8.10E+00	0.747171901
8.14E+00	0.73215337
