
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 1.000   F_CH4= 1.6768E-06  F_CO2= 3.3000E-04  F_O2= 2.0714E-01  F_N2= 7.6937E-01  F_H2= 9.8637E-61  F_AR= 9.8637E-03  IO3 =  1   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.320  G= 980.0  IMW= 2

 FNO2 = 1.000E-60

 NST=     1 JCONV=101 CHG=0.00E+00 dt0=1.00E+04 DIVF(1)=      NaN DIVFrms=      NaN DT(ND)=      NaN T(ND)=       NaN

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP =    NaN

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 33 6.4369E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 34 7.1981E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 35 8.0403E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 36 8.9711E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 37 9.9984E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 38 1.1131E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 39 1.2378E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 40 1.3750E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 41 1.5256E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 42 1.6909E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 43 1.8720E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 44 2.0701E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 45 2.2867E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 46 2.5232E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 47 2.7810E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 48 3.0617E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 49 3.3670E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 50 3.6987E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 51 4.0585E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 52 4.4483E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 53 4.8701E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 54 5.3260E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 55 5.8181E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 56 6.3486E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 57 6.9198E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 58 7.5339E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 59 8.1934E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 60 8.9007E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 61 9.6583E-02        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
