"WL.um."	"FLUX.W.m2.um."
2.865	83.6825827417358
2.875	82.3709435138089
2.885	81.3216321314674
2.895	80.5346485947112
2.905	79.747665057955
2.915	78.6983536756136
2.925	77.9113701388574
2.935	77.3867144476867
2.945	76.5997309109305
2.955	76.0750752197598
2.965	75.550419528589
2.975	75.0257638374183
2.985	74.5011081462475
2.995	74.2387803006621
3.005	73.7141246094914
3.015	73.451796763906
3.025	73.1894689183206
3.035	72.9271410727352
3.045	72.4024853815645
3.055	72.1401575359791
3.065	72.1401575359791
3.075	71.8778296903937
3.085	71.8778296903937
3.095	71.6155018448083
3.105	71.6155018448083
3.115	71.353173999223
3.125	71.0908461536376
3.135	70.8285183080522
3.145	70.5661904624668
3.155	70.0415347712961
3.165	69.7792069257107
3.175	69.5168790801253
3.185	69.5168790801253
3.195	69.5168790801253
3.21	69.25455123454
3.23	68.9922233889546
3.25	68.9922233889546
3.27	68.2052398521984
3.29	67.942912006613
3.31	67.6805841610277
3.33	67.1559284698569
3.35	66.8936006242715
3.37	66.3689449331008
3.39	65.84428924193
3.41	65.3196335507593
3.43	64.7949778595885
3.45	64.0079943228324
3.47	63.4833386316616
3.49	62.6963550949055
3.51	61.9093715581493
3.53	61.3847158669786
3.55	60.5977323302224
3.57	59.8107487934663
3.59	59.2860931022956
3.61	58.7614374111248
3.63	57.9744538743687
3.65	57.1874703376125
3.67	56.6628146464418
3.69	55.8758311096856
3.71	55.0888475729295
3.73	54.3018640361734
3.75	53.7772083450026
3.77	52.9902248082465
3.79	51.940913425905
3.81	51.1539298891488
3.83	50.3669463523927
3.85	49.5799628156365
3.87	48.7929792788804
3.89	47.7436678965389
3.91	46.9566843597828
3.93	46.1697008230266
3.95	45.3827172862705
3.97	44.5957337495144
3.99	43.2840945215875
4.01	42.7594388304167
4.03	42.2347831392459
4.05	41.4477996024898
4.07	40.6608160657337
4.09	39.8738325289775
4.11	39.0868489922214
4.13	38.5621933010506
4.15	37.7752097642945
