  Int#    Range (A)      Flux       Ozone1     Ozone2     CH3CHO     CH3COCH3
=============================================================================
  60   0.0     0.0     0.0     0.0     0.0     0.0     5.4E-19 0.0     .00  .00
  61   0.0     0.0     0.0     0.0     0.0     0.0     6.0E-19 0.0     .00  .00
  62   0.0     0.0     0.0     0.0     0.0     0.0     6.0E-19 0.0     .00  .00
  63   0.0     0.0     0.0     0.0     0.0     0.0     6.8E-19 0.0     .00  .00
  64   0.0     0.0     0.0     0.0     0.0     0.0     5.8E-19 0.0     .00  .00
  65   0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     .00  .00
  66   0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     .00  .00
  67   0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     .00  .00
  68   0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     .00  .00

