 (nm)        32SO2           33SO2            34SO2            Error 32SO2      Error 33SO2      Error 34SO2
188.2106    2.9739216E-18    4.0735990E-18    5.6965908E-18    2.2488720E-18    1.1726759E-18    1.0870173E-18
188.2380    2.8227246E-18    3.7695719E-18    5.7341784E-18    2.7265396E-18    9.8406994E-19    1.1050843E-18
188.2653    3.0161533E-18    3.5321210E-18    5.7382610E-18    3.0544452E-18    8.6803022E-19    9.6959279E-19
188.2927    3.4534720E-18    3.3847281E-18    5.6538516E-18    3.3080733E-18    8.6414050E-19    8.3580853E-19
188.3200    3.8739302E-18    3.2589144E-18    5.4668365E-18    3.5690041E-18    9.0593888E-19    1.0336186E-18
188.3474    4.0425682E-18    3.1101125E-18    5.2461911E-18    3.5251781E-18    9.1560528E-19    1.3299719E-18
188.3747    3.9154763E-18    2.9593757E-18    5.0699514E-18    3.1516557E-18    8.6678016E-19    1.3701627E-18
188.4021    3.6250789E-18    2.8977624E-18    4.9321104E-18    2.7036414E-18    7.6261306E-19    1.2029488E-18
188.4295    3.3120902E-18    3.0138460E-18    4.7939488E-18    2.3412280E-18    6.5555160E-19    1.1283142E-18
188.4569    3.0212437E-18    3.3056203E-18    4.6573753E-18    2.1823806E-18    6.1476386E-19    1.2929385E-18
188.4843    2.7408546E-18    3.6703292E-18    4.5425789E-18    2.1183240E-18    5.5684459E-19    1.4869832E-18
188.5117    2.5003603E-18    3.9496581E-18    4.4556092E-18    2.0878444E-18    3.9758419E-19    1.5352746E-18
188.5391    2.3875805E-18    3.9984852E-18    4.3717766E-18    2.1685735E-18    3.0794282E-19    1.4618413E-18
188.5666    2.4365836E-18    3.8168254E-18    4.2658090E-18    2.3004221E-18    5.0009208E-19    1.4101317E-18
188.5940    2.5817295E-18    3.5717086E-18    4.1889875E-18    2.2515952E-18    7.5100105E-19    1.4616845E-18
188.6215    2.7853501E-18    3.4226834E-18    4.2417681E-18    2.0384139E-18    9.0871325E-19    1.5679967E-18
188.6489    3.1006946E-18    3.3995990E-18    4.4526525E-18    1.8442550E-18    9.4361065E-19    1.6836539E-18
188.6764    3.5503562E-18    3.4035478E-18    4.7173229E-18    1.8117607E-18    9.1692007E-19    1.8216171E-18
188.7038    4.0261545E-18    3.3262507E-18    4.8545371E-18    2.0216705E-18    9.2454371E-19    1.9630523E-18
188.7313    4.3436492E-18    3.1705983E-18    4.7514612E-18    2.3200267E-18    9.7171882E-19    2.0192390E-18
